name,feature_types,detail_text,see_also,source_page
CIRO EL GRANDE,plazoleta,"Ordenanza N° 48.885-1994, BM Nº 19.959. Ciro ll, el Grande o el Viejo (560-529 a.C.), fundador del Imperio Persa de los Aqueménidas.",,119
COMUNIDAD ORGANIZADA,puente peatonal,"Ley Nº 646-2001, BO Nº 1.303. La Comunidad Organizada: título de la conferencia pronunciada el 9 de abril de 1949 por el entonces presidente de la Nación, general Juan Domingo Perón, en el acto de clausura del Primer Congreso Nacional de Filosofía realizado en la ciudad de Mendoza, en la que plantea los principios ideológicos de su pensamiento político.",,123
"CONGO, REPÚBLICA DEMOCRÁTICA DEL",espacio verde,"Ley Nº 1.381- 2004, BO Nº 2.005. República Democrática del Congo: país africano. Capital: Brazzaville.",,124
COOPERADORAS ESCOLARES,plazoleta,"Ley Nº 972-2002, BO Nº 1.614. Cooperadoras Escolares: en reconocimiento a la labor desarrollada por estas entidades de bien público que han promovido el acercamiento de las familias a las escuelas y colaborado en el sostenimiento de las mismas.",,127
"CORREO, DEL",plaza,"Ordenanzas Nº 35.522-1980, BM Nº 16.210 y N° 39.385-1983, BM N° 17.106. Del Correo: homenaje al Correo Argentino y al telégrafo en ocasión de celebrarse en 1983 el Año Mundial de las Comunicaciones.",,129
CORTO MALTÉS,cantero central,"Ley N° 431-2000, BO N° 1.002. Corto Maltés: personaje que da nombre a la historieta creada por el dibujante y escritor Hugo Pratt en 1967.",,130
"COSTAMAGNA, SANTIAGO",calle,"Ordenanza N° 35.154-1979, BM N° 16.096. Santiago Costamagna (1846-1921), sacerdote italiano; encabeza la tercera expedición de misioneros salesianos enviados a América; viaja en 1878 a la Patagonia para iniciar su obra apostólica en la región; acompaña a Roca, en 1879, en su expedición al Río Negro; Vicario Apostólico de Méndez y Guadaquiza, Ecuador, en 1894; autor de Compelle Intrare.",,131
"CRUCIANI, JULIO",cantero central,"Ley Nº 1.435-2004, BO Nº 2.038. Julio Cruciani (1898-1949), médico e investigador; participa en el movimiento estudiantil que culmina con la Reforma Universitaria de 1918; en 1927 es jefe de Trabajos Prácticos de Patología Médica de la Cátedra del profesor Juan José Vitón. Es autor del libro Asma, interpretación actual, especialidad a la que se dedica en el Hospital Ramos Mejía, en el primer servicio de asistencia pública de esta enfermedad, donde es nombrado jefe del Consultorio de Asma.",,133
"CUMPARSITA, LA",plazoleta,"Ordenanza Nº 51.997-1997. La Cumparsita: tango compuesto por Gerardo H. Matos Rodríguez, en 1917 en Montevideo (Uruguay); su primera versión orquestal estuvo a cargo de la agrupación de Roberto Firpo y la primera llevada al disco correspondió al conjunto dirigido por Alberto Alonso y Minoto Di Cico, quienes la registraron en 1917 para la Casa Víctor en Buenos Aires.",,135
"DE AMICIS, EDMUNDO",calle,"Edmundo D´Amicis por Ordenanza N° 2.720 del 28-6-1928 y por Ley N° 2.534/07, BO N° 2.832 su nombre actual. Edmundo De Amicis (1846-1908), escritor italiano; autor de Corazón y Muertos y Vivos.",,145
